,slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
0,bitcoin,BTC,Bitcoin,2013-04-28,1,135.3,135.98,132.1,134.21,0.0,1500520000.0,0.5438,3.88
1,bitcoin,BTC,Bitcoin,2013-04-29,1,134.44,147.49,134.0,144.54,0.0,1491160000.0,0.7813,13.49
2,bitcoin,BTC,Bitcoin,2013-04-30,1,144.0,146.93,134.05,139.0,0.0,1597780000.0,0.3843,12.88
3,bitcoin,BTC,Bitcoin,2013-05-01,1,139.0,139.89,107.72,116.99,0.0,1542820000.0,0.2882,32.17
4,bitcoin,BTC,Bitcoin,2013-05-02,1,116.38,125.6,92.28,105.21,0.0,1292190000.0,0.3881,33.32
5,bitcoin,BTC,Bitcoin,2013-05-03,1,106.25,108.13,79.1,97.75,0.0,1180070000.0,0.6424,29.03
6,bitcoin,BTC,Bitcoin,2013-05-04,1,98.1,115.0,92.5,112.5,0.0,1089890000.0,0.8889,22.5
7,bitcoin,BTC,Bitcoin,2013-05-05,1,112.9,118.8,107.14,115.91,0.0,1254760000.0,0.7521,11.66
8,bitcoin,BTC,Bitcoin,2013-05-06,1,115.98,124.66,106.64,112.3,0.0,1289470000.0,0.3141,18.02
9,bitcoin,BTC,Bitcoin,2013-05-07,1,112.25,113.44,97.7,111.5,0.0,1248470000.0,0.8767,15.74
10,bitcoin,BTC,Bitcoin,2013-05-08,1,109.6,115.78,109.6,113.57,0.0,1219450000.0,0.6424,6.18
11,bitcoin,BTC,Bitcoin,2013-05-09,1,113.2,113.46,109.26,112.67,0.0,1259980000.0,0.8119,4.2
12,bitcoin,BTC,Bitcoin,2013-05-10,1,112.8,122.0,111.55,117.2,0.0,1255970000.0,0.5407,10.45
13,bitcoin,BTC,Bitcoin,2013-05-11,1,117.7,118.68,113.01,115.24,0.0,1311050000.0,0.3933,5.67
14,bitcoin,BTC,Bitcoin,2013-05-12,1,115.64,117.45,113.44,115.0,0.0,1288630000.0,0.389,4.01
15,bitcoin,BTC,Bitcoin,2013-05-13,1,114.82,118.7,114.5,117.98,0.0,1279980000.0,0.8286,4.2
16,bitcoin,BTC,Bitcoin,2013-05-14,1,117.98,119.8,110.25,111.5,0.0,1315720000.0,0.1309,9.55
17,bitcoin,BTC,Bitcoin,2013-05-15,1,111.4,115.81,103.5,114.22,0.0,1242760000.0,0.8708,12.31
18,bitcoin,BTC,Bitcoin,2013-05-16,1,114.22,118.76,112.2,118.76,0.0,1274620000.0,1.0,6.56
19,bitcoin,BTC,Bitcoin,2013-05-17,1,118.21,125.3,116.57,123.02,0.0,1319590000.0,0.7388,8.73
20,bitcoin,BTC,Bitcoin,2013-05-18,1,123.5,125.25,122.3,123.5,0.0,1379140000.0,0.4068,2.95
21,bitcoin,BTC,Bitcoin,2013-05-19,1,123.21,124.5,119.57,121.99,0.0,1376370000.0,0.4909,4.93
22,bitcoin,BTC,Bitcoin,2013-05-20,1,122.5,123.62,120.12,122.0,0.0,1368910000.0,0.5371,3.5
23,bitcoin,BTC,Bitcoin,2013-05-21,1,122.02,123.0,121.21,122.88,0.0,1363940000.0,0.9329999999999999,1.79
24,bitcoin,BTC,Bitcoin,2013-05-22,1,122.89,124.0,122.0,123.89,0.0,1374130000.0,0.945,2.0
25,bitcoin,BTC,Bitcoin,2013-05-23,1,123.8,126.93,123.1,126.7,0.0,1384780000.0,0.9399,3.83
26,bitcoin,BTC,Bitcoin,2013-05-24,1,126.3,133.85,125.72,133.2,0.0,1413300000.0,0.92,8.13
27,bitcoin,BTC,Bitcoin,2013-05-25,1,133.1,133.22,128.9,131.98,0.0,1489950000.0,0.713,4.32
28,bitcoin,BTC,Bitcoin,2013-05-26,1,131.99,136.0,130.62,133.48,0.0,1478030000.0,0.5316,5.38
29,bitcoin,BTC,Bitcoin,2013-05-27,1,133.5,135.47,124.7,129.75,0.0,1495520000.0,0.4689,10.77
30,bitcoin,BTC,Bitcoin,2013-05-28,1,129.77,130.58,125.6,129.0,0.0,1454310000.0,0.6827,4.98
31,bitcoin,BTC,Bitcoin,2013-05-29,1,129.0,132.59,127.66,132.3,0.0,1446190000.0,0.9412,4.93
32,bitcoin,BTC,Bitcoin,2013-05-30,1,132.25,132.25,127.0,128.8,0.0,1483180000.0,0.3429,5.25
33,bitcoin,BTC,Bitcoin,2013-05-31,1,128.8,129.9,126.4,129.0,0.0,1445050000.0,0.7429,3.5
34,bitcoin,BTC,Bitcoin,2013-06-01,1,128.81,129.78,127.2,129.3,0.0,1445800000.0,0.8140000000000001,2.58
35,bitcoin,BTC,Bitcoin,2013-06-02,1,129.3,129.4,115.05,122.29,0.0,1451930000.0,0.5045,14.35
